N0,N1,N2,N3,N4,N5,N6,N7,N8,N9,Action,Fitness,Prediction,Prediction Error,Accuracy,Numerosity,Avg Action Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Experience,Match Count
"-0.4182848791570907,0.7965285672625948",#,#,#,#,#,"-3.14379163245686,3.114795338961407","-1.4227633585833528,2.1524586913212196","-2.6891514116357977,0.5634358546484348","-3.70663807051699,2.715936454190438",1,0.02950733219689388,200.48357032784585,162.95783850532382,8.702093044627607e-08,2,131.03458399841458,4969,3911,0.5,1.5888404247842616e-05,32,118
"0.42886709416443075,1.3062323610230926",#,#,#,#,#,#,#,#,#,0,0.16170671910255868,1000.0,0.0,1.0,2,103.93286889112744,4936,3914,0.1,1.2528655926881565e-05,63,74
"-1.3452845581345745,-0.5191487800112233","-2.139148345923748,1.033397710927809","-1.3282086510378885,2.673593986351743","-2.8650391915335525,4.352643832706456","-1.1466811285651661,2.032575382233453",#,"-4.168222883019426,0.9908825934199565",#,#,#,0,0.02494949874942307,0.021352411952433557,0.1925713397221827,1.0,1,177.2668459221998,4976,3926,0.6,1.0688395060643899e-05,94,378
"0.7057881186119959,2.0174925989979497","-1.6563472195939044,2.1638612728379445",#,"-3.3143499019047233,2.8757458811901504",#,#,"-2.688300572407724,3.083994118515716",#,"-5.646474167307332,2.3765744228604415",#,0,0.00041157346127517516,995.4964003726012,18.915118435735756,0.00413004396945435,1,123.3017295729986,4986,3928,0.5,0.0002463338299125048,181,235
"0.7057881186119959,1.9069539936287798","-1.0417995909752158,0.7959421676317979",#,#,"-3.286725804481484,0.47818322146424874",#,#,"-3.0859106354385633,4.172873526488901",#,#,1,0.0021643900951837476,17.179869184000005,56.979899460266665,1.6649132400152863e-05,1,127.995340824576,4885,3942,0.4,7.714641203231269e-06,16,76
"-0.4453473379823121,-0.4182848791570907",#,"-1.3282086510378885,2.673593986351743",#,#,"-1.3622969481126521,4.246491234863028",#,"-3.5202870528339867,4.496877543921721",#,#,1,0.0884320192344693,333.33333333333337,277.77777777777777,6.0466176e-09,1,70.66666666666667,4677,3960,0.4,4.2592798679200065e-06,3,13
"-0.4453473379823121,0.31713582709348553",#,#,#,#,#,#,#,"-2.6891514116357977,0.5634358546484348","-3.70663807051699,2.715936454190438",1,0.025213522091092386,200.0,160.0,9.5367431640625e-08,1,130.81441542235157,4969,3960,0.3,7.923467463317523e-06,31,130
"-1.3452845581345745,-0.6277190756773812","-2.139148345923748,0.9169197447425943","-2.0031997456000035,2.5947034379221234",#,#,#,#,"-1.5043808918101116,2.33044526254215","-2.894384842354735,3.7642778323111323",#,0,0.005603441739158074,128.00000690174636,153.6001090475923,1.1696135202193041e-07,1,180.18356846907278,4965,3964,0.5,1.0908143957298459e-05,103,416
"-1.3452845581345745,-0.6277190756773812",#,"-1.3282086510378885,1.8743303070504949",#,#,#,"-3.1982972437622417,1.1996287361532982",#,#,"-3.70663807051699,2.715936454190438",1,0.016959850931719513,999.9973688150219,0.029764941411824463,1.0,1,162.43793998838757,4985,3972,0.4,9.530398472715634e-06,278,372
"-1.5805761328706307,-0.6277190756773812","-1.2593021651772336,0.5199730230786963","-3.174927798840999,3.507561037036661","-3.8320934631427006,1.9397526048781961","-2.140126495721561,2.032575382233453","-1.5198399952563941,1.8256121049765965",#,"-3.4081294620473215,2.3704375783086684","-3.8250924556854105,3.7642778323111323","-2.2922330778268,4.7037856008723615",1,0.017176244741376617,999.9995210949107,0.005938426147658886,1.0,1,162.10211526249327,4985,3972,0.9,9.490865062463074e-06,297,397
#,"0.11592188891091926,0.6867593060121407","-1.3913925654813601,2.673593986351743","-2.8650391915335525,4.352643832706456","-1.1938055784919686,1.8158580361457548","-0.8031763977304599,1.34134417934197",#,#,#,#,0,0.00015874687031932467,519.9911736445287,415.206708413127,8.103603651502015e-10,1,127.48083927828816,4860,3987,0.5,0.000660301062103003,31,73
#,"-1.8301833124631424,2.3444437609055298",#,#,#,#,#,"-1.4227633585833528,2.1524586913212196","-3.8298823289464217,1.6995160237367735","-3.70663807051699,2.715936454190438",0,5.7263260145761416e-05,728.7060264381255,347.70046287222897,1.9677669219678516e-09,1,126.49309884397594,4986,3990,0.4,0.0010909031735830202,414,864
"-0.4182848791570907,0.7965285672625948","-0.16747415192637072,5.6566268416007475","-0.26943359500623276,1.9528862770294617",#,#,#,#,#,#,#,0,0.053227702504452225,999.9990646389522,0.011037260365111237,1.0,1,109.15307092329195,4982,3990,0.3,6.551134394529444e-06,72,97
"-0.4182848791570907,0.7965285672625948",#,"-0.26943359500623276,1.9528862770294617",#,"-2.273355590237049,0.9059009205615699",#,#,#,"-2.6891514116357977,1.2960367865271802",#,0,0.06577958185574223,999.9955398509603,0.04638555001290611,1.0,1,105.45136909301793,4982,3991,0.4,6.355852265412641e-06,58,81
"-1.5805761328706307,-0.6277190756773812","-1.2593021651772336,0.5199730230786963","-3.174927798840999,3.507561037036661","-3.8320934631427006,1.9397526048781961","-2.140126495721561,2.032575382233453","-1.5198399952563941,1.8256121049765965",#,#,"-3.8250924556854105,3.7642778323111323","-2.2922330778268,4.7037856008723615",1,0.017176244741376617,999.9995210949107,0.005938426147658886,1.0,1,162.10211526249327,4985,4010,0.8,9.490865062463074e-06,286,385
"0.7057881186119959,2.0174925989979497",#,#,#,#,"-1.668031071890809,2.4494484360882565","-2.688300572407724,3.083994118515716",#,"-5.646474167307332,2.3765744228604415",#,1,0.043663015087421375,0.08112963841460671,0.632811179633932,1.0,3,123.22302129717067,4988,4012,0.4,2.228100002300875e-05,48,207
"-1.3452845581345745,0.1404095828905907","-1.2593021651772336,0.7389942519738115","-1.3282086510378885,3.507561037036661","-2.658372791878813,3.2807731621716734","-2.140126495721561,1.2064593051190904","-2.9030375652035745,1.8256121049765965","-3.1982972437622417,1.1996287361532982",#,#,#,1,0.004068848585193774,966.4443576603961,80.54429957005986,2.9500267512741497e-06,1,161.69216269680896,4985,4022,0.7,9.40747370734467e-06,265,375
"-1.0501174214842235,-0.6277190756773812","-2.0263811900323385,0.5199730230786963",#,#,#,"-1.5198399952563941,1.6970309627683529",#,"-1.6381447200691852,1.467173333277095","-3.8250924556854105,3.7642778323111323",#,1,0.016835765902983274,999.9994013686385,0.007303306412256896,1.0,1,163.2061738603569,4985,4022,0.5,9.620835246689318e-06,279,374
"-1.3452845581345745,-0.6277190756773812","-2.139148345923748,0.6867593060121407","-1.3282086510378885,2.673593986351743","-2.8650391915335525,4.352643832706456","-2.534703504947092,1.8158580361457548","-0.8031763977304599,1.34134417934197",#,#,"-3.8250924556854105,3.7642778323111323",#,1,0.01844026344257139,999.9944248111746,0.05686695914647184,1.0,1,161.20211292940883,4985,4025,0.7,9.538334271869684e-06,253,336
"-0.4182848791570907,1.9069539936287798","-0.849383015758403,1.6625348970734977",#,"-2.935693770748367,2.166952753154164","-3.286725804481484,0.47818322146424874",#,#,#,"-2.6891514116357977,5.480761452428588",#,1,0.0014407859697140855,255.31110376151713,254.83883429376505,9.304048184170703e-09,1,120.96183467310117,4970,4042,0.5,6.995587919560041e-06,24,116
"0.8364239705343662,1.9069539936287798","-1.0417995909752158,2.569082408720642",#,#,#,#,#,#,#,#,0,0.0010662031853797007,982.8201302993277,51.53961724249867,2.7497553471418657e-05,1,124.16997591690105,4999,4043,0.2,7.603148032784926e-05,102,132
"-0.4182848791570907,0.7965285672625948",#,"-0.26943359500623276,4.126091254745192",#,#,#,#,#,#,"-3.70663807051699,2.715936454190438",0,0.05739224425485345,999.9995654540974,0.005547269197584222,1.0,1,111.45182541928365,4982,4048,0.3,6.7243249383867796e-06,85,113
"0.7057881186119959,2.0174925989979497",#,#,#,#,"-1.668031071890809,2.4494484360882565","-2.688300572407724,3.083994118515716",#,#,#,0,0.00034654963787585015,995.4964003726187,18.915118435261842,0.004130043969971737,1,127.33896154424595,4999,4051,0.3,0.0002658649155596096,158,204
"-1.3452845581345745,-0.6277190756773812","-2.139148345923748,0.9169197447425943","-1.3282086510378885,2.673593986351743","-2.8650391915335525,4.352643832706456",#,#,#,"-1.5043808918101116,2.070841158094461","-2.894384842354735,3.7642778323111323",#,0,0.0054692468374728746,128.00002106245833,153.60031172438337,1.1696058036695518e-07,1,180.4304515437145,4965,4053,0.6,1.0926744383764586e-05,90,358
"-1.0501174214842235,-0.6277190756773812","-2.139148345923748,1.033397710927809","-1.3282086510378885,2.673593986351743",#,#,#,#,#,"-2.3254479866535696,5.480761452428588",#,1,0.013012712554346837,999.6891680701586,2.0581056123628634,1.0,1,162.42208967005087,4985,4058,0.4,9.528532567411101e-06,274,364
"-1.3452845581345745,0.1404095828905907",#,#,#,"-1.1466811285651661,2.032575382233453",#,#,"-3.4081294620473215,1.467173333277095",#,#,1,4.4421921084785463e-05,684.7245725052425,351.9432619968609,1.8519818453278738e-09,1,142.19263336432564,4998,4058,0.3,0.0007241384978246557,344,555
"-0.4182848791570907,0.5462583900132446","0.11592188891091926,5.6566268416007475","-3.385416624081514,0.5994328016376627",#,"-2.6571428822818106,0.27111969345375964",#,#,"-2.1407542838823854,3.601269008388594","-3.8298823289464217,1.6995160237367735",#,0,0.04364329176397087,840.0,160.0,9.5367431640625e-08,1,123.0521920548814,4982,4075,0.6,7.416703646077112e-06,30,37
"-0.7697895102747482,0.5462583900132446","-1.8301833124631424,5.6566268416007475",#,"-2.066026671642698,3.8731192824077887",#,"0.594681864269732,3.4254490260053396",#,#,#,#,0,9.777128669894514e-05,684.021963604644,393.02326592218276,1.0663719160394766e-09,1,115.66868210138634,4941,4075,0.4,0.0007860625129314991,60,109
"-0.4453473379823121,0.31713582709348553",#,"-1.3282086510378885,2.673593986351743",#,#,"-0.21411156544762555,4.246491234863028","-1.530846558555919,0.6681164314018508","-4.599870145348845,1.7344319364713225",#,"-1.712713065271413,4.709861459436015",1,0.044685767406476375,160.0,160.0,9.5367431640625e-08,1,123.87404799999999,4998,4088,0.6,7.5246141858622e-06,10,42
"-0.6277190756773812,0.31713582709348553",#,#,#,#,#,#,#,#,#,1,0.001078371464687115,418.3695266962753,416.0532820769778,8.021493544549755e-10,2,110.39588212240817,4998,4088,0.1,0.00012134165148388868,91,271
"0.7057881186119959,2.0174925989979497",#,#,#,#,"-1.668031071890809,2.4494484360882565","-2.688300572407724,3.083994118515716","-2.2577031508577234,2.0758993338750913","-5.646474167307332,2.3765744228604415",#,1,0.014564886697757566,0.08112963841460671,0.632811179633932,1.0,1,123.22270079371631,4988,4097,0.5,7.426980690019903e-06,45,171
"-1.3452845581345745,-0.6277190756773812","-2.139148345923748,0.6867593060121407","-1.3282086510378885,2.673593986351743",#,"-2.534703504947092,1.8158580361457548","-0.8031763977304599,1.34134417934197",#,"-1.5043808918101116,2.070841158094461",#,#,0,0.014963886795850775,0.0,0.0,1.0,1,185.98497908558642,4926,4098,0.6,1.1345228239924414e-05,71,304
"-1.3452845581345745,-0.6277190756773812","-2.139148345923748,0.9169197447425943",#,"-2.8650391915335525,4.352643832706456",#,#,#,#,"-3.8250924556854105,4.044467992384961","-2.3781818250183613,3.9297038688907198",0,0.004483022826654988,102.40000441711766,143.36007155730613,1.6514253790424163e-07,1,176.02408014545338,4976,4098,0.5,1.0594763800264724e-05,87,366
#,"-0.16747415192637072,2.3444437609055298","-1.3282086510378885,2.673593986351743",#,#,#,#,#,#,#,1,0.00021251588052421103,415.9877543887743,435.87085870633456,6.356394300386691e-10,1,136.88906893801635,4998,4111,0.2,0.0002737203306524305,139,345
"-0.6277190756773812,0.7965285672625948",#,#,#,#,#,#,"-4.599870145348845,1.7344319364713225",#,"-3.70663807051699,2.715936454190438",1,0.0003680314718856187,423.66571186061475,421.37414163813344,7.527670409708883e-10,1,110.96889405552541,4998,4111,0.3,9.016621544713133e-05,90,261
"-1.3452845581345745,-0.6277190756773812","-2.139148345923748,1.033397710927809","-1.3282086510378885,2.673593986351743","-2.8650391915335525,4.352643832706456","-1.1466811285651661,2.032575382233453",#,#,#,#,"-4.574857307775689,1.9624060477300864",1,0.009882066180751728,999.2392832690265,4.43533557635614,1.0,1,165.18843702135314,4985,4129,0.6,9.854187995101504e-06,237,313
"0.7057881186119959,2.0174925989979497",#,#,#,#,"-1.668031071890809,2.4494484360882565",#,#,#,#,0,0.0006930992759230172,995.4964003726227,18.91511843514701,0.004130043970097101,2,127.33896154424558,4999,4135,0.2,0.0005317298309760989,145,189
"-1.3452845581345745,-0.6277190756773812","-2.139148345923748,1.033397710927809","-1.3282086510378885,4.67898717242428","-2.8650391915335525,4.352643832706456","-1.1466811285651661,2.032575382233453","-2.4740674352761927,0.614042195708106",#,#,#,#,0,0.01819029398020083,0.0018268770466636293,0.021344013495186723,1.0,1,184.5374694226618,4976,4141,0.6,1.1236171363168847e-05,57,254
"-1.3452845581345745,-0.5191487800112233","-2.139148345923748,0.6867593060121407","-1.3282086510378885,2.673593986351743","-2.8650391915335525,4.352643832706456",#,#,#,#,"-3.8250924556854105,3.7642778323111323",#,0,0.006706211943950452,184.32358558189233,241.6992259863359,1.2123379546810772e-08,1,165.08739196804078,4976,4141,0.5,9.770782389136677e-06,87,362
"-1.5805761328706307,-0.6277190756773812","-2.139148345923748,0.5199730230786963","-0.2753584746136758,1.7170662382459123",#,#,#,#,#,"-3.8250924556854105,3.7642778323111323",#,1,0.017243145883894712,999.9754992106261,0.22813368285705266,1.0,1,163.73135531401275,4985,4147,0.4,9.6826598005816e-06,173,228
"-1.8025641610823424,0.1208904624154934",#,#,"-3.397406509691031,1.4385271741408472",#,"-1.5198399952563941,1.6970309627683529",#,"-2.093689437498543,1.467173333277095",#,#,1,0.0031522127126882037,997.4858342460545,13.077283705422811,0.02614642232428965,1,145.9119575394599,4985,4147,0.4,0.0002801535980332639,325,501
"0.8364239705343662,2.0174925989979497",#,#,#,#,#,#,#,"-5.418563458663065,1.628708951619439",#,0,0.00056661522722407,996.3971202980931,15.85267068863972,0.009988213339617864,1,126.05642746310154,4986,4148,0.2,0.00018292750331040138,142,190
"0.7057881186119959,1.9069539936287798","-1.0417995909752158,2.569082408720642","-2.590787679414203,1.8647045082910567",#,#,"-1.668031071890809,-1.0785741095795527",#,#,#,#,0,0.04621074058155068,1000.0,0.0,1.0,1,134.35115520000002,4999,4148,0.4,8.193424633662811e-06,11,12
"0.7057881186119959,1.9069539936287798","-1.0417995909752158,2.569082408720642",#,#,#,#,"-2.688300572407724,3.083994118515716",#,"-5.646474167307332,2.3765744228604415",#,1,0.005003845035993023,1.8446744073709553,9.500073197960418,1.0,1,122.00515021590954,4988,4161,0.4,7.353595473073298e-06,26,109
"0.7258853651651965,2.0174925989979497",#,"-2.590787679414203,-0.2918360876531392",#,#,"-1.668031071890809,2.4494484360882565",#,#,#,#,1,0.023824194482581548,0.0,0.0,1.0,1,125.0946085031887,4988,4161,0.3,7.53980586202311e-06,24,82
"-0.7697895102747482,0.7965285672625948",#,#,"-2.066026671642698,3.8731192824077887","-2.6571428822818106,0.27111969345375964",#,#,#,"0.8419580667714852,4.419804059684141",#,0,0.001210422560281585,637.3610865138073,366.25007726594185,1.517439465840465e-09,1,102.70814587143717,4935,4171,0.4,6.977022658710153e-05,21,38
#,"-0.16747415192637072,5.6566268416007475","-0.26943359500623276,1.9528862770294617",#,#,"0.594681864269732,3.4254490260053396",#,"-2.1407542838823854,3.601269008388594",#,#,0,0.00011002150198407098,840.1025165955809,288.3567717472019,5.015904116609561e-09,1,120.13128841935418,4965,4171,0.4,0.0007318908749257217,48,66
#,#,#,"-3.397406509691031,-2.145850281929281","-2.140126495721561,1.2064593051190904","-1.8647167051885445,4.397283379862951",#,"-2.093689437498543,1.467173333277095",#,#,1,0.022388568125711147,0.0,0.0,1.0,1,156.0,4754,4181,0.4,9.402561217861147e-06,2,16
"-1.5805761328706307,0.1404095828905907","-2.139148345923748,0.3312680016555044",#,"-2.935693770748367,1.4385271741408472",#,#,#,#,#,#,1,0.00014500199973453972,981.8754719289902,56.45331883798055,1.744024598425425e-05,1,145.083980055166,4985,4181,0.3,0.0003563491945272134,272,394
"0.7057881186119959,2.0174925989979497",#,#,#,#,"-1.668031071890809,2.4494484360882565",#,#,#,"-1.3461789189322275,2.7826189898082614",0,0.0004290548881852371,992.9631255822336,26.7401227875123,0.0007314472546393943,1,125.94577848703337,4999,4190,0.3,0.00019486997552749068,116,153
"-0.6277190756773812,0.16469602493546215",#,"-1.3282086510378885,2.673593986351743","-2.8650391915335525,4.352643832706456",#,#,#,"-4.599870145348845,2.658914016578619","-5.388548582516458,2.0858190058978736",#,0,0.00036182349522841583,877.2962994606156,206.68195973652058,2.6514726142342922e-08,1,100.03032694685007,4982,4198,0.5,0.00017687018628854883,105,170
"-0.6277190756773812,0.7965285672625948",#,#,#,#,#,#,"-4.599870145348845,1.7344319364713225","-4.029779709281373,2.6922339743727077","-3.70663807051699,2.715936454190438",1,0.00036802906742285123,423.6657207666282,421.37416738293564,7.527668110109416e-10,1,110.96889415244216,4998,4203,0.4,9.016680475137612e-05,81,222
#,#,#,#,#,"-0.21411156544762555,0.6673889940565629",#,#,"2.046074112096711,5.480761452428588",#,1,0.21037497758367651,1000.0,0.0,1.0,1,77.0,4436,4214,0.2,4.6410077806109504e-06,1,4
"-0.4453473379823121,0.31713582709348553",#,"-1.3282086510378885,2.673593986351743","-2.935693770748367,2.166952753154164","-1.4416412999196027,1.5702859208369833","-3.021186398508016,4.246491234863028",#,#,#,"-3.70663807051699,2.715936454190438",0,0.22476835388612276,999.7472035542648,1.7365807788142953,1.0,2,103.32213762353192,4982,4214,0.6,1.3252890753702521e-05,68,88
"-1.3452845581345745,-0.6277190756773812","-2.139148345923748,0.9169197447425943",#,#,#,#,#,"-1.5043808918101116,2.070841158094461","-2.894384842354735,4.044467992384961",#,1,0.014457526738123306,999.8016843943823,1.3895823562164913,1.0,1,162.0931337218814,4985,4220,0.4,9.489807752198726e-06,235,312
"-1.3452845581345745,-0.6277190756773812","-2.139148345923748,0.6867593060121407",#,#,"-2.534703504947092,2.032575382233453",#,"-3.6432163261763644,2.6153706452419025",#,#,#,1,0.017172659253124535,999.9993103769702,0.008627950867487615,1.0,1,162.10199345759435,4985,4233,0.4,9.490850723545572e-06,232,308
"0.7057881186119959,2.0174925989979497","-1.8301833124631424,0.9169197447425943",#,#,#,"-1.668031071890809,2.4494484360882565","-0.808362302849295,4.604469672431369",#,#,#,0,0.124603505968956,1000.0,0.0,1.0,1,131.68469429016645,4952,4236,0.4,7.937008971273206e-06,92,119
#,#,"-1.7844629816357795,1.0509106482028654",#,#,#,#,#,"0.5847540940525053,4.054180511422353","-5.324198134410091,1.901198205885764",0,0.00035012593739339886,681.7117613916948,389.0890661342262,1.1213853189947065e-09,1,111.12443957285029,4999,4236,0.3,0.00020084832627050735,78,140
"-1.3452845581345745,-0.6277190756773812","-2.139148345923748,1.033397710927809","-1.3282086510378885,2.673593986351743","-2.8650391915335525,4.352643832706456","-1.5154520489221839,-1.1466811285651661",#,#,#,#,#,0,0.010012480556360032,0.0,0.0,1.0,1,165.5,4926,4240,0.5,9.975153086897563e-06,2,9
"0.7057881186119959,2.0174925989979497",#,#,"-1.265770539439385,2.9167266113003945",#,"-1.668031071890809,2.4494484360882565","-2.688300572407724,3.083994118515716",#,"-5.646474167307332,2.3765744228604415",#,0,0.0003890252548328944,994.3705004657869,22.51799813685246,0.0017272337110188969,1,127.19991265703986,4986,4242,0.5,0.0002688507615632056,114,150
"-1.3452845581345745,-0.6277190756773812",#,"-2.4386663507870234,1.4695513552067845","-2.8650391915335525,4.352643832706456",#,#,"-1.56249970132333,1.820520283227085","-1.5043808918101116,2.070841158094461",#,#,0,0.004697823103179949,128.14335397650606,154.66428277081084,1.1299255790825791e-07,1,179.76623709887843,4965,4279,0.5,1.0876701779763313e-05,71,282
"-1.3452845581345745,-0.6277190756773812","-2.139148345923748,0.9169197447425943","-1.3282086510378885,2.547787216094879",#,#,"-0.8031763977304599,1.34134417934197",#,#,#,#,0,0.018109214493042005,0.0,0.0,1.0,1,180.65904848649345,4976,4279,0.4,1.0943967114122718e-05,64,252
"-1.3452845581345745,-0.6277190756773812","-4.132894631740598,1.033397710927809","-1.3282086510378885,2.673593986351743","-2.8650391915335525,4.352643832706456","-1.1466811285651661,2.032575382233453",#,#,#,#,#,1,0.010808753469291908,999.3914266155446,3.6699831308906354,1.0,1,165.19676743600562,4985,4280,0.5,9.855168654578416e-06,195,262
#,"-1.0417995909752158,0.7389942519738115",#,#,#,#,#,"-3.4081294620473215,1.467173333277095","-2.3254479866535696,5.480761452428588","0.16969892632266603,4.298496835063155",1,0.010238918892889144,999.0523511639052,5.323954763745542,1.0,1,163.36047880655465,4985,4292,0.4,9.942039105103354e-06,111,193
"-1.3452845581345745,-0.6277190756773812","-2.139148345923748,1.033397710927809","-1.3282086510378885,2.673593986351743",#,"-2.534703504947092,1.8158580361457548",#,#,#,"-3.8250924556854105,4.044467992384961",#,0,0.004376118726180661,102.4,143.35999999999999,1.6514295005431624e-07,1,176.22063069597394,4976,4298,0.5,1.060957212224929e-05,66,266
#,#,"-1.3282086510378885,2.673593986351743","-2.8650391915335525,4.352643832706456",#,"-0.8031763977304599,1.34134417934197","-2.650847673023123,1.070474309982333",#,#,"-3.707491219133034,2.4857056439776994",0,1.9619354455759204e-05,582.7518820688596,434.9722742292966,6.422322700648181e-10,1,123.70062747385836,4982,4298,0.5,0.0033603768678133294,177,390
#,#,#,"-2.935693770748367,3.8731192824077887",#,#,#,"-2.1407542838823854,3.601269008388594","0.8419580667714852,4.419804059684141",#,0,0.0009020614475749372,599.5107155536498,385.58717656158586,1.1732406156076493e-09,1,105.15670653966156,4999,4305,0.3,7.251751808543047e-05,63,101
"-0.7697895102747482,0.5462583900132446","0.11592188891091926,5.6566268416007475","-1.3282086510378885,2.673593986351743",#,"-2.6571428822818106,1.5702859208369833","-3.021186398508016,4.246491234863028",#,#,#,#,0,0.0023871238967308234,863.1620929831325,182.06658462574688,4.998604468205205e-08,1,99.85509080553254,4982,4305,0.5,6.018548744962201e-06,81,125
"0.7057881186119959,2.0174925989979497","-2.6698064331247875,1.0980704361230638",#,#,#,"-1.668031071890809,2.4494484360882565","-2.688300572407724,3.083994118515716",#,#,#,1,0.026184466653520127,0.0,0.0,1.0,1,128.07138922756397,4951,4306,0.4,7.719224855568544e-06,29,134
#,#,"-3.039725554132545,-0.2918360876531392",#,#,#,#,"-3.348122950635161,1.635519906807576",#,#,0,0.00014692317141421385,624.3135974858336,419.5889237107884,7.689178166074773e-10,1,123.42363583999052,4986,4327,0.2,0.0006907331435989071,115,235
"0.7258853651651965,2.0174925989979497",#,#,#,#,#,#,#,#,#,0,0.0012883029255741194,997.6941569907863,11.06804644422574,0.060206743244498234,1,126.51917533757148,4999,4327,0.1,0.00010079176158484355,127,165
"-0.4453473379823121,0.31713582709348553",#,"-1.3282086510378885,2.673593986351743","-2.935693770748367,2.166952753154164","-1.4416412999196027,1.5702859208369833","-3.021186398508016,4.246491234863028",#,#,#,#,0,0.11572094382501014,999.7987106363582,1.4214400275678305,1.0,1,99.33362665477105,4982,4332,0.5,6.250822194240236e-06,60,80
#,"-0.16747415192637072,5.6566268416007475","-0.26943359500623276,1.9528862770294617",#,"-4.55989515910175,1.1293007023273576","0.594681864269732,3.4254490260053396",#,"-2.1407542838823854,3.601269008388594",#,#,0,0.00035021714551692365,783.7686498285277,330.32565210369626,2.5426611941493664e-09,1,124.31255599775793,4965,4353,0.5,0.0002918635401667807,37,46
"-0.4182848791570907,1.715994776080973",#,#,#,#,"-4.346505621114245,0.3714396484451008","-3.14379163245686,3.114795338961407",#,"-5.548621462015909,0.5634358546484348","-3.70663807051699,2.715936454190438",0,0.0007252095242580014,973.864829646231,80.70936093485275,2.9199839030894384e-06,1,111.00313736097135,4936,4360,0.5,0.00010865118502026037,87,118
"-0.4182848791570907,1.715994776080973",#,#,#,#,#,#,#,#,"-3.70663807051699,2.715936454190438",0,0.0027743007677175557,931.6278808773636,131.60666849838853,2.532856133427324e-07,1,107.46966175743766,4982,4360,0.2,7.017043830092499e-06,183,240
"-1.3452845581345745,-0.6277190756773812","-2.139148345923748,0.9169197447425943","-1.3282086510378885,2.547787216094879","-2.8650391915335525,4.352643832706456",#,"-0.8031763977304599,1.34134417934197",#,#,"-3.8250924556854105,4.044467992384961","-1.1730915207838701,2.6116398955615785",0,0.016615220675226524,0.0,0.0,1.0,1,182.03378924143303,4976,4374,0.7,1.0971691327319281e-05,50,206
"-0.4182848791570907,0.7965285672625948","-0.16747415192637072,2.3444437609055298","-0.26943359500623276,1.9528862770294617",#,#,#,#,#,#,"-6.112238355888396,2.715936454190438",1,0.02390191533297785,0.0,0.0,1.0,1,131.39754803199997,4998,4383,0.4,8.110231543499376e-06,13,50
"-1.3452845581345745,-0.6277190756773812","-2.139148345923748,0.9169197447425943","-1.3282086510378885,2.547787216094879",#,#,"-0.8031763977304599,1.34134417934197",#,"-1.5043808918101116,2.070841158094461",#,#,0,0.014963608302345832,0.0,0.0,1.0,1,185.9850109882299,4926,4394,0.5,1.1345230643502604e-05,52,208
"-0.6277190756773812,1.715994776080973",#,"-3.438409043855395,2.255314050780932",#,"-1.7026802100444878,3.1498692011744565",#,"-2.721380801010464,3.114795338961407","-2.1407542838823854,1.7344319364713225",#,#,0,0.00126264017047162,927.6504590470506,146.2133138391684,1.4964609854363917e-07,1,111.60523888341609,4982,4404,0.5,6.735883267618747e-06,155,228
"-0.6277190756773812,0.5462583900132446","0.11592188891091926,5.6566268416007475","0.3395210576467127,2.673593986351743",#,#,#,"-3.14379163245686,3.537206170407803",#,"-2.6891514116357977,0.5634358546484348",#,0,0.13778451598650013,1000.0,0.0,1.0,1,100.20177105744038,4900,4404,0.5,6.039444144267247e-06,28,36
#,#,"-1.3282086510378885,2.673593986351743",#,#,"-0.21411156544762555,4.246491234863028","-0.8905044956993086,1.7313359923272627",#,#,#,1,0.00015201268308094156,597.3841625780884,390.3183834390259,1.1038370524876463e-09,1,134.70367656773936,4998,4408,0.3,0.00045167709363365296,125,261
"-0.4453473379823121,0.7965285672625948",#,#,#,#,#,#,#,#,"-3.70663807051699,2.715936454190438",1,6.996295826018743e-05,189.26375842247072,230.16123216554845,1.5482430195154936e-08,1,116.72308649737894,4998,4408,0.2,0.0006508740688680013,29,129
"-0.6277190756773812,0.34430714582306465",#,"-2.3799856683612175,2.5244443940623844",#,#,"-2.9030375652035745,1.6970309627683529",#,"-1.6381447200691852,1.467173333277095",#,#,1,0.0001471702430177778,585.280529982925,426.38885077102714,7.095300589541419e-10,1,105.85171057492522,4970,4411,0.4,0.0002658750379139732,53,135
"-1.3452845581345745,-0.6277190756773812","-2.139148345923748,0.9169197447425943",#,"-2.8650391915335525,4.352643832706456",#,"-0.8031763977304599,1.34134417934197",#,#,#,#,0,0.018244119777450003,0.0,0.0,1.0,1,180.40441870877333,4976,4413,0.4,1.0924783043025734e-05,56,221
"0.7057881186119959,2.0174925989979497",#,#,#,#,"-1.668031071890809,2.4494484360882565","-2.688300572407724,3.083994118515716","-0.9029191196173645,2.0758993338750913","-5.646474167307332,2.3765744228604415",#,1,0.018872998183867295,0.0,0.0,1.0,1,123.16923658137054,4988,4416,0.5,7.423758250727943e-06,23,97
#,#,"-1.3282086510378885,1.8743303070504949",#,"-2.140126495721561,2.032575382233453","-2.9030375652035745,1.6970309627683529",#,#,#,"-3.70663807051699,2.715936454190438",1,7.5034538102584714e-06,609.5663883262785,402.14221344714895,9.508273816792127e-10,1,145.5511933551403,4998,4442,0.4,0.00498292658354259,228,448
