N0,N1,N2,N3,N4,N5,N6,N7,N8,N9,Action,Fitness,Prediction,Prediction Error,Accuracy,Numerosity,Avg Action Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Experience,Match Count
"-1.1176070573964283,0.16469602493546215",#,#,#,#,"-3.964775452419886,4.316444317049671",#,"-2.3395369131057877,2.658914016578619",#,#,0,5.2154509822433425e-05,576.7374813211568,434.77121179702584,6.437186641351611e-10,1,125.62763277602448,4982,194,0.3,0.0011841167621268352,1256,3279
#,#,#,"-3.3143499019047233,2.8757458811901504","-2.140126495721561,1.2064593051190904","-1.4187263563538,1.6970309627683529","-2.688300572407724,2.8091069024867004","-3.5599827520805927,4.132161658320153",#,#,1,1.415332187647061e-05,724.6244055583516,286.88847253583515,5.145582064323898e-09,1,137.74302059402555,4998,199,0.5,0.0027442185862443977,1981,3640
"-0.6277190756773812,0.16469602493546215",#,"-1.3282086510378885,2.673593986351743","-2.8650391915335525,4.352643832706456",#,#,#,"-4.599870145348845,2.658914016578619","-2.576222742442859,2.0858190058978736",#,0,0.000361823551585128,877.2962994835308,206.68195941324785,2.6514726349702272e-08,1,100.03032694477086,4982,206,0.5,0.00017687015873495794,621,1023
"0.7457644104934167,2.129301946693614","-3.0765979479840495,0.7959421676317979","-2.5470715931935533,2.2040950297793107","-3.3143499019047233,2.8757458811901504",#,#,"-2.688300572407724,2.8091069024867004","-3.5599827520805927,4.132161658320153",#,#,1,0.012287834729321885,0.1910548890962473,1.4668220189104029,1.0,1,129.04205024563518,4951,216,0.6,7.7777293404673e-06,231,910
"0.8364239705343662,2.0174925989979497","-2.9679127467750273,0.5383060065528347",#,#,"0.3491978499794215,2.8591372006099096",#,#,#,#,"-0.05904769990609915,3.037550731649268",0,0.027434734136417702,999.9999999999998,5.225533591575146e-12,1.0,1,156.21523005124007,4952,223,0.4,9.415533741788763e-06,169,231
"-0.6277190756773812,0.31713582709348553",#,"-1.3282086510378885,2.673593986351743","-2.8650391915335525,4.352643832706456","-1.1251162738160558,2.221469527024596","-3.1037910839023297,2.815085708817577",#,"-4.599870145348845,1.7344319364713225","-2.576222742442859,2.0858190058978736",#,0,7.905521420445137e-05,966.8417964293544,102.75504785242092,8.7293955090017e-07,1,101.3254975315988,4982,227,0.7,0.0008230605256180493,514,849
"-1.3540619077213396,-0.2067380972138586",#,"-3.438409043855395,2.673593986351743",#,#,#,"-3.11976500375879,0.2632549807916251","-4.599870145348845,2.704281477850117","-3.8250924556854105,3.7642778323111323","-3.2992259335201406,3.811481575977368",0,3.491288631668632e-05,612.8621734270539,417.55477664525415,7.878303712338814e-10,1,126.94077363807382,4982,245,0.6,0.0029896313591188254,622,1866
"-1.5805761328706307,0.1404095828905907",#,#,"-3.3143499019047233,2.166952753154164",#,#,"-2.688300572407724,2.8091069024867004",#,#,"-3.70663807051699,2.715936454190438",1,1.472841298112288e-05,719.241188374062,313.4762464420845,3.3035190118518602e-09,1,138.73441772184592,4998,246,0.4,0.0017397196550411427,2003,3222
"-1.5805761328706307,0.1404095828905907","-2.0263811900323385,0.22387860687957295",#,"-2.935693770748367,1.4385271741408472","-2.140126495721561,1.2064593051190904","-1.8647167051885445,4.397283379862951",#,"-2.093689437498543,1.0481723639327476",#,#,1,0.004752046709504847,996.3951858502707,15.874749281699692,0.009918948265785751,2,146.44412022388653,4985,264,0.6,1.862457477349941e-05,1295,1774
#,#,#,"-2.7439699765989323,2.166952753154164",#,#,#,#,"-2.3644589537274987,2.948100247870081","-3.70663807051699,2.715936454190438",1,5.299517432332538e-06,681.8147097400927,357.08262092054605,1.7224888972297971e-09,1,137.0505194346421,4998,264,0.3,0.00457355054794828,2291,4449
"-0.4182848791570907,0.7965285672625948","-0.16747415192637072,2.3444437609055298",#,"-2.7439699765989323,2.166952753154164",#,#,#,"-0.5443302815317121,6.497773756159112","-2.6891514116357977,2.948100247870081",#,1,0.00028482866556297717,3.191813204053895,15.177764375336555,0.012415407195715555,1,126.07125905790267,4970,270,0.5,0.00036394407101533337,110,435
"-1.3540619077213396,-0.2067380972138586",#,#,#,"-2.140126495721561,1.2064593051190904",#,#,"-4.599870145348845,2.704281477850117","-3.8250924556854105,3.7642778323111323","-3.2992259335201406,3.811481575977368",1,0.0002490699008290144,913.387460315572,151.78177754196588,1.2413716614866936e-07,2,144.33475344788377,4985,301,0.5,0.0006640384344378107,1749,2644
